Test No,Pin No,Mating Pin,Connectors,Part No,Harness,Harness Name
T2,T2B12,14,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B13,15,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B14,16,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B15,17,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B16,18,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B17,19,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B18,20,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B19,21,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B20,,,,,
T2,T2B21,,,,,
T2,T2B22,,,,,
T2,T2B23,,,,,
T2,T2B24,,,,,
T2,T2B25,,,,,
T2,T2C1,1,APS1,C4WR1005,,
T2,T2C2,2,APS1,C4WR1005,,
T2,T2C3,3,APS1,C4WR1005,,
T2,T2C4,1,APS2,C4WR10051,,
T2,T2C5,2,APS2,C4WR10051,,
T2,T2C6,3,APS2,C4WR10051,,
T2,T2C7,1,PUS,C12WR10116,,
T2,T2C8,2,PUS,C12WR10116,,
T2,T2C9,3,PUS,C12WR10116,,
T2,T2C10,4,PUS,C12WR10116,,
T2,T2C11,7,PUS,C12WR10116,,
T2,T2C12,8,PUS,C12WR10116,,
T2,T2C13,9,PUS,C12WR10116,,
T2,T2C14,10,PUS,C12WR10116,,
T2,T2C15,11,PUS,C12WR10116,,
T2,T2C16,12,PUS,C12WR10116,,
T2,T2C17,1,WPM,C2NR10006,,
T2,T2C18,2,WPM,C2NR10006,,
T2,T2C19,1,SW+ TP3,C2NR10006,,
T2,T2C20,2,SW+ TP3,C2NR10006,,
T2,T2C21,1,DI-RH,C2WR10196,,
T2,T2C22,2,DI-RH,C2WR10196,,
T2,T2C23,1,DI-LH,C2WR10196,,
T2,T2C24,2,DI-LH,C2WR10196,,
T2,T2C25,,,,,
T2,T2D1,1,HHLM-RH,C3WR10083,,
T2,T2D2,2,HHLM-RH,C3WR10083,,
T2,T2D3,3,HHLM-RH,C3WR10083,,
T2,T2D4,1,HHLM-LH,C3WR10083,,
T2,T2D5,2,HHLM-LH,C3WR10083,,
T2,T2D6,3,HHLM-LH,C3WR10083,,
T2,T2D7,1,HLHB-RH,C4WR10051,,
T2,T2D8,2,HLHB-RH,C4WR10051,,
T2,T2D9,3,HLHB-RH,C4WR10051,,
T2,T2D10,1,HLHB-LH,C4WR10051,,
T2,T2D11,2,HLHB-LH,C4WR10051,,
T2,T2D12,3,HLHB-LH,C4WR10051,,
T2,T2D13,1,FFL-RH,C2WR10160,,
T2,T2D14,2,FFL-RH,C2WR10160,,
T2,T2D15,1,FFL-LH,C2WR10160,,
T2,T2D16,2,FFL-LH,C2WR10160,,
T2,T2D17,2,HLLB&P-RH,C4WR10051,,
T2,T2D18,3,HLLB&P-RH,C4WR10051,,
T2,T2D19,4,HLLB&P-RH,C4WR10051,,
T2,T2D20,2,HLLB&P-LH,C4WR10051,,
T2,T2D21,3,HLLB&P-LH,C4WR10051,,
T2,T2D22,4,HLLB&P-LH,C4WR10051,,
T2,T2D23,,,,,
T2,T2D24,,,,,
T2,T2D25,,,,,
