Test No,Pin No,Mating Pin,Connectors,Part No,Harness,Harness Name
T5,T5B16,54,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B17,55,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B18,56,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B19,,,,,
T5,T5B20,,,,,
T5,T5B21,,,,,
T5,T5B22,,,,,
T5,T5B23,,,,,
T5,T5B24,,,,,
T5,T5B25,,,,,
T5,T4D1,3,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D2,4,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D3,5,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D4,6,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D5,7,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D6,8,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D7,9,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D8,10,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D9,11,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D10,12,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D11,13,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D12,14,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D13,15,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D14,16,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D15,17,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D16,18,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D17,19,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D18,20,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D19,21,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D20,24,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D21,25,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D22,27,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D23,28,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D24,29,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D25,30,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E1,31,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E2,32,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E3,34,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E4,35,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E5,36,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E6,37,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E7,38,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E8,43,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E9,44,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E10,45,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E11,46,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E12,50,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E13,51,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E14,52,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E15,53,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E16,54,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E17,55,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E18,56,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E19,,,,,
T5,T4E20,,,,,
T5,T4E21,,,,,
T5,T4E22,,,,,
T5,T4E23,,,,,
T5,T4E24,,,,,
T5,T4E25,,,,,
